,Table,Row,Description,Special,chinese,,,
176,previous_application.csv,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loan applications in Home Credit, previous application could, but not necessarily have to lead to credit) ",hashed,,,,
177,previous_application.csv,SK_ID_CURR,ID of loan in our sample,hashed,,,,
178,previous_application.csv,NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",,上一次申请的合同产品类型(现金贷款、消费贷款,,,
179,previous_application.csv,AMT_ANNUITY,Annuity of previous application,,以前贷款时的年金,,,
180,previous_application.csv,AMT_APPLICATION,For how much credit did client ask on the previous application,,客户上一个申请要求多少信用？,,,
181,previous_application.csv,AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",,上一次申请的最后贷款额。这与AMT_应用程序的不同之处在于，AMT_应用程序是客户最初申请的金额，但在我们的审批过程中，他可能收到不同的金额-AMT_Credits。,,,
182,previous_application.csv,AMT_DOWN_PAYMENT,Down payment on the previous application,,上一次申请的定金,,,
183,previous_application.csv,AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,,客户在上一次申请时要求的商品价格(如果适用的话),,,
184,previous_application.csv,WEEKDAY_APPR_PROCESS_START,On which day of the week did the client apply for previous application,,一周哪天申请的贷款,,,
185,previous_application.csv,HOUR_APPR_PROCESS_START,Approximately at what day hour did the client apply for the previous application,rounded,哪时间申请的贷款,,,
186,previous_application.csv,FLAG_LAST_APPL_PER_CONTRACT,Flag if it was last application for the previous contract. Sometimes by mistake of client or our clerk there could be more applications for one single contract,,如果这是上一份合同的最后一次申请，则标记。有时由于客户或我们的职员的错误，一份合同可能会有更多的申请。,,,
187,previous_application.csv,NFLAG_LAST_APPL_IN_DAY,Flag if the application was the last application per day of the client. Sometimes clients apply for more applications a day. Rarely it could also be error in our system that one application is in the database twice,,当天最后一次申请,,,
188,previous_application.csv,NFLAG_MICRO_CASH,Flag Micro finance loan,,小微贷款标志,,,
189,previous_application.csv,RATE_DOWN_PAYMENT,Down payment rate normalized on previous credit,normalized,首付比率,,,
190,previous_application.csv,RATE_INTEREST_PRIMARY,Interest rate normalized on previous credit,normalized,最初利率,,,
191,previous_application.csv,RATE_INTEREST_PRIVILEGED,Interest rate normalized on previous credit,normalized,特级利率,,,
192,previous_application.csv,NAME_CASH_LOAN_PURPOSE,Purpose of the cash loan,,现金贷款的目的,,,
193,previous_application.csv,NAME_CONTRACT_STATUS,"Contract status (approved, cancelled, ...) of previous application",,,,,
194,previous_application.csv,DAYS_DECISION,Relative to current application when was the decision about previous application made,time only relative to the application,上一次决定贷款的时间,,,
195,previous_application.csv,NAME_PAYMENT_TYPE,Payment method that client chose to pay for the previous application,,之前贷款的支付方式,,,
196,previous_application.csv,CODE_REJECT_REASON,Why was the previous application rejected,,上次贷款拒绝原因,,,
197,previous_application.csv,NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,,上次贷款谁陪同的,,,
198,previous_application.csv,NAME_CLIENT_TYPE,Was the client old or new client when applying for the previous application,,上次贷款时客户是新用户还是老用户,,,
199,previous_application.csv,NAME_GOODS_CATEGORY,What kind of goods did the client apply for in the previous application,,上次贷款的货物是什么,,,
200,previous_application.csv,NAME_PORTFOLIO,"Was the previous application for CASH, POS, CAR, ?,
201,previous_application.csv,NAME_PRODUCT_TYPE,Was the previous application x-sell o walk-in,（上次贷款开车还是走路来的）
202,previous_application.csv,CHANNEL_TYPE,Through which channel we acquired the client on the previous application,（上次贷款的客户我们是通过什么渠道获得）
203,previous_application.csv,SELLERPLACE_AREA,Selling area of seller place of the previous application, 上次贷款时候我们销售地方的面积
204,previous_application.csv,NAME_SELLER_INDUSTRY,The industry of the seller,买房行业
205,previous_application.csv,CNT_PAYMENT,Term of previous credit at application of the previous application,上次贷款的期限
206,previous_application.csv,NAME_YIELD_GROUP,Grouped interest rate into small medium and high of the previous application,grouped利率的分组
207,previous_application.csv,PRODUCT_COMBINATION,Detailed product combination of the previous application,之前贷款的产品详细组合
208,previous_application.csv,DAYS_FIRST_DRAWING,Relative to application date of current application when was the first disbursement of the previous application,time only relative to the application之前支付第一次贷款的时间
209,previous_application.csv,DAYS_FIRST_DUE,Relative to application date of current application when was the first due supposed to be of the previous application,time only relative to the application之前贷款第一次应交时间
210,previous_application.csv,DAYS_LAST_DUE_1ST_VERSION,Relative to application date of current application when was the first due of the previous application,time only relative to the application第一次支付时间
211,previous_application.csv,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,time only relative to the application最后到期时间
212,previous_application.csv,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application逾期终止时间
213,previous_application.csv,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,上次申请中是否要求保险
214,installments_payments.csv,SK_ID_PREV ,ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0",1,"2 or more previous loans in Home Credit)""",hashed,,
215,installments_payments.csv,SK_ID_CURR,ID of loan in our sample,hashed,,,,
216,installments_payments.csv,NUM_INSTALMENT_VERSION,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed,,以前分期付款方式,,,
217,installments_payments.csv,NUM_INSTALMENT_NUMBER,On which installment we observe payment,,分期付款的数量,,,
218,installments_payments.csv,DAYS_INSTALMENT,When the installment of previous credit was supposed to be paid (relative to application date of current loan),time only relative to the application,以前贷款的分期付款时间,,,
219,installments_payments.csv,DAYS_ENTRY_PAYMENT,When was the installments of previous credit paid actually (relative to application date of current loan),time only relative to the application,实际付款时间,,,
220,installments_payments.csv,AMT_INSTALMENT,What was the prescribed installment amount of previous credit on this installment,,上次规定的分期付款金额,,,
221,installments_payments.csv,AMT_PAYMENT,What the client actually paid on previous credit on this installment,,实际支付金额,,,
